Your Current Country.,Your Current Zip Code / Pin Code,Your Gender,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,How likely is that you will work for one employer for 3 years or more ?,Would you work for a company whose mission is not clearly defined and publicly posted.,How likely would you work for a company whose mission is misaligned with their public actions or even their product ?,How likely would you work for a company whose mission is not bringing social impact ?,What is the most preferred working environment for you.,Which of the below Employers would you work with.,Which type of learning environment that you are most likely to work in ?,Which of the below careers looks close to your Aspirational job ?,What type of Manager would you work without looking into your watch ?,Which of the following setup you would like to work ?
India,273005,Male,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,4,Fully Remote with No option to visit offices,Employer who rewards learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Business Operations in any organization, Build and develop a Team, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
India,851129,Male,People who have changed the world for better,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,1,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Business Operations in any organization, Build and develop a Team, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,123106,Female,Social Media like LinkedIn,"Yes, I will earn and do that",Will work for 3 years or more,Yes,Will work for them,7,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Manage and drive End-to-End Projects or Products, Design and Develop amazing software, Become a content Creator in some platform","Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,834003,Male,"People from my circle, but not family members","No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,6,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,301019,Female,Influencers who had successful careers,"No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will NOT work for them,5,Fully Remote with Options to travel as and when needed,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Learning by observing others","Teaching in any of the institutes/online or Offline, Business Operations in any organization, Manage and drive End-to-End Projects or Products","Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,768028,Female,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,6,Fully Remote with Options to travel as and when needed,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Learning by observing others","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,301019,Male,"People from my circle, but not family members","No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",Yes,Will work for them,7,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Business Operations in any organization, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,722207,Male,"People from my circle, but not family members","No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will work for them,5,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 7 to 10 or more people in my team
India,400022,Male,"People from my circle, but not family members","No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,6,Fully Remote with Options to travel as and when needed,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Teaching in any of the institutes/online or Offline, Look deeply into Data and generate insights, Become a content Creator in some platform","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,201310,Male,Social Media like LinkedIn,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",Yes,Will work for them,7,Every Day Office Environment,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Learning by observing others","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
